# Program:featureCounts v2.1.1; Command:"featureCounts" "-T" "2" "-p" "--countReadPairs" "-s" "0" "-t" "exon" "-g" "gene_id" "-a" "/proj/uppmax2026-1-61/nobackup/work/tede0387/8_Structural-Annotation/braker3/braker3_output/braker.gtf" "-o" "/proj/uppmax2026-1-61/nobackup/work/tede0387/10_Gene-Quantification/counts.txt" "/proj/uppmax2026-1-61/nobackup/work/tede0387/7_RNA-Mapping/updated_hisat2/bam/Control_1.sorted.bam" "/proj/uppmax2026-1-61/nobackup/work/tede0387/7_RNA-Mapping/updated_hisat2/bam/Control_2.sorted.bam" "/proj/uppmax2026-1-61/nobackup/work/tede0387/7_RNA-Mapping/updated_hisat2/bam/Control_3.sorted.bam" "/proj/uppmax2026-1-61/nobackup/work/tede0387/7_RNA-Mapping/updated_hisat2/bam/Heat_1.sorted.bam" "/proj/uppmax2026-1-61/nobackup/work/tede0387/7_RNA-Mapping/updated_hisat2/bam/Heat_2.sorted.bam" "/proj/uppmax2026-1-61/nobackup/work/tede0387/7_RNA-Mapping/updated_hisat2/bam/Heat_3.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	/proj/uppmax2026-1-61/nobackup/work/tede0387/7_RNA-Mapping/updated_hisat2/bam/Control_1.sorted.bam	/proj/uppmax2026-1-61/nobackup/work/tede0387/7_RNA-Mapping/updated_hisat2/bam/Control_2.sorted.bam	/proj/uppmax2026-1-61/nobackup/work/tede0387/7_RNA-Mapping/updated_hisat2/bam/Control_3.sorted.bam	/proj/uppmax2026-1-61/nobackup/work/tede0387/7_RNA-Mapping/updated_hisat2/bam/Heat_1.sorted.bam	/proj/uppmax2026-1-61/nobackup/work/tede0387/7_RNA-Mapping/updated_hisat2/bam/Heat_2.sorted.bam	/proj/uppmax2026-1-61/nobackup/work/tede0387/7_RNA-Mapping/updated_hisat2/bam/Heat_3.sorted.bam
g11	contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon	54678;54678;55050;55050;55358;55358;55743;55743;56200;56230;56613;56613;57297;57297;57630;57630	54812;54812;55166;55166;55537;55537;56012;56012;56332;56332;56938;56938;57446;57446;57773;57773	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	1455	490	305	269	285	163	587
g12	contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon	61919;61937;62711;62711;62953;62953;63004;63450;63450;63450;63718;63718;63718;63999;63999;63999;64219;64219;64219;64577;64577;64577;64730;64730;64730;65021;65021;65021;65415;65415;65415;65689;65689;65689	62066;62066;62784;62784;63036;63036;63036;63533;63533;63533;63798;63798;63798;64091;64091;64091;64466;64466;64466;64628;64628;64628;64783;64783;64783;65113;65113;65113;65481;65481;65481;65774;65774;65774	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	1164	532	730	635	577	534	712
g13	contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon	67096;67371;67538;67735;68044;68394;68640	67164;67413;67599;67831;68114;68485;68712	+;+;+;+;+;+;+	507	300	289	240	187	117	284
g14	contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon	69359;69852;70079;70316;70542;71057;71282;71543;71850;72085;72378;72656	69496;69950;70134;70422;70743;71111;71343;71656;71912;72094;72463;73073	-;-;-;-;-;-;-;-;-;-;-;-	1410	303	233	256	243	225	205
g15	contig_102_pilon	73205	73573	+	369	5	15	4	7	1	4
g16	contig_102_pilon;contig_102_pilon;contig_102_pilon	73985;74348;76270	74248;75804;76690	+;+;+	2142	346	79	93	540	531	451
g17	contig_102_pilon;contig_102_pilon	78005;78463	78376;79128	-;-	1038	2	1	5	186	52	75
g18	contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon	79653;81084;82615;82874;83024;83282;83765;83956;84192;84408;84948;85322;85962	80537;82432;82702;82919;83106;83393;83815;84035;84275;84566;85106;85389;86547	-;-;-;-;-;-;-;-;-;-;-;-;-	3750	458	355	344	2050	991	1141
g19	contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon	89072;89737;90002;90266;90464;90828	89268;89895;90109;90347;90643;91079	-;-;-;-;-;-	978	3333	516	898	353	271	1401
g20	contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon	95833;96206;96371;96573	96099;96268;96412;96575	-;-;-;-	375	4	1	4	13	13	18
g21	contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon	101720;102079;102444;102881;103233	101728;102220;102625;103036;103292	-;-;-;-;-	549	28	33	15	240	123	218
g22	contig_102_pilon	103567	103965	-	399	4	10	5	90	7	39
g23	contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon	105056;105056;105250;105250;105613;105613;106101;106101;106639;106639;106875;106875;107247;107247;107924;107924;108338;108338	105145;105145;105510;105510;105815;105815;106514;106523;106771;106771;107127;107127;107637;107637;108051;108051;108432;108432	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1977	485	432	380	228	121	438
g24	contig_102_pilon;contig_102_pilon	108964;109505	109194;109558	-;-	285	132	119	116	71	24	199
g25	contig_102_pilon;contig_102_pilon	110416;110792	110535;110884	+;+	213	80	57	52	46	3	50
g26	contig_102_pilon;contig_102_pilon;contig_102_pilon	115099;115481;116170	115185;115739;117326	+;+;+	1503	530	5781	3337	189	477	878
g27	contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon	118546;119383;119594;119850;120040;120240;120796;121299;122392;122761;123339;123843;124173	118696;119450;119713;119935;120112;120647;121131;122157;122449;122890;123438;123964;124841	-;-;-;-;-;-;-;-;-;-;-;-;-	3180	18	26	16	7	3	10
g28	contig_114_pilon	1479	1976	-	498	0	0	0	0	0	0
g29	contig_116_pilon	1810	2256	+	447	0	0	0	0	0	0
g30	contig_116_pilon	3686	4333	-	648	0	0	0	0	0	0
g31	contig_116_pilon	4464	5111	+	648	0	0	0	0	0	0
g32	contig_116_pilon	8562	8999	-	438	0	0	0	0	0	0
g33	contig_116_pilon	9313	9906	+	594	0	0	0	0	0	0
g34	contig_116_pilon	9797	11539	-	1743	0	0	0	0	0	0
g35	contig_116_pilon	9942	11042	+	1101	0	0	0	0	0	0
g36	contig_116_pilon	11157	11483	+	327	0	0	0	0	0	0
g37	contig_116_pilon	11727	12161	+	435	0	0	0	0	0	0
g38	contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon	16270;16270;17048;17048;17846;17846;18182;18182;18586;18586;19120;19120;20332;20332;21376;21376;22010;22010;22999;22999;23485;23485;24033;24033;25233;25233;25653;25653;25957;25957;26478;26478;26742;26742;26984;26984;27496;27496;27849;27849;28736;28736	16422;16422;17317;17317;18037;18037;18414;18414;18845;18845;19403;19403;21201;21201;21852;21852;22132;22132;23058;23058;23685;23685;24549;24549;25390;25390;25736;25736;26187;26187;26540;26540;26882;26882;27088;27088;27555;27555;28044;28044;30708;30396	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	6651	3457	3444	3283	2262	882	3108
g39	contig_116_pilon	30593	30952	-	360	0	0	0	0	0	0
g40	contig_116_pilon	31588	32079	+	492	0	0	0	0	0	0
g41	contig_116_pilon;contig_116_pilon	50587;50587	51195;51171	-;-	609	0	0	0	0	0	0
g42	contig_116_pilon	52044	52511	-	468	0	0	0	0	0	0
g43	contig_116_pilon	52593	53249	-	657	0	0	0	0	0	0
g44	contig_116_pilon	58004	58525	-	522	0	0	0	0	0	0
g45	contig_116_pilon	58079	58453	+	375	0	0	0	0	0	0
g46	contig_116_pilon	64196	64438	-	243	2	0	0	1	0	0
g47	contig_116_pilon	113569	113799	+	231	0	0	0	0	0	0
g48	contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon	122882;123297;123460;124712	122981;123330;124239;124790	-;-;-;-	993	767	1320	889	1325	1178	874
g49	contig_116_pilon;contig_116_pilon;contig_116_pilon	139636;139884;140227	139791;140015;140421	+;+;+	483	303	251	231	426	310	449
g50	contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon	160341;161004;161628;163277	160723;161289;162636;164052	-;-;-;-	2454	1435	1689	1319	1017	417	1415
g51	contig_116_pilon;contig_116_pilon	203385;203711	203570;203725	+;+	201	19	46	43	41	29	34
g52	contig_116_pilon;contig_116_pilon	203759;203948	204724;204724	+;+	966	1338	2285	1895	1499	1423	1469
g53	contig_116_pilon;contig_116_pilon;contig_116_pilon	210143;210143;211736	211594;212164;212164	+;+;+	2022	489	866	970	817	513	960
g54	contig_116_pilon;contig_116_pilon;contig_116_pilon	215837;216216;217033	216026;216821;217421	+;+;+	1185	455	9983	2016	490	416	563
g55	contig_116_pilon;contig_116_pilon;contig_116_pilon	218569;219057;219878	218728;219388;220126	-;-;-	741	1360	1941	1497	1411	1322	1314
g56	contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon	220940;220940;221510;221510;221717;221717;222012;222012;222289;222289;222657;222657;223011;223011;223380;223380;223859;223859;224088;224088;224348;224348;225047;225047;225459;225459;226031;226031;226295;226295;226848;226848;227306;227306;227726;227726;228032;228032;228446;228446;228895;228895;229275;229275;229919;229919;230078;230078;230609;230609;231053;231053;231456;231456;231753;231753;232026;232026;232556;232556;232750;232750;233129;233129;233473;233473;233719;233719;233943;233943;234131	221041;221041;221553;221553;221837;221837;222085;222085;222373;222373;222741;222741;223106;223106;223624;223624;223954;223954;224213;224213;224569;224569;225147;225147;225585;225585;226109;226109;226530;226530;226953;226953;227382;227382;227941;227941;228242;228242;228632;228632;228971;228971;229479;229479;229961;229961;230372;230372;230868;230868;231220;231220;231553;231553;231826;231826;232471;232471;232648;232648;232914;232914;233246;233246;233586;233586;233827;233827;234324;234052;234324	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	5283	2600	2402	2014	1045	309	1142
g57	contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon	234927;235260;235688;235688;236039;236039;236368;236368;236543;236543;236954;236954;237182;237182;237465;237465;237775;237775;238010;238010;238238;238238;238791;238791;239114;239114	235160;235346;235907;235907;236165;236165;236403;236403;236746;236746;237018;237018;237328;237328;237570;237570;237921;237921;238088;238088;238313;238313;238882;238882;239260;239260	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	1767	1916	1457	1507	753	604	950
g58	contig_116_pilon	240553	241236	+	684	14	6	3	15	11	11
g59	contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon	241266;241266;241266;241616;241616;241616;242037;242037;242037;242373;242373;242560;242560;242560;243010;243010;243010;243436;243436;243436	241452;241452;241452;241710;241710;241710;242184;242166;242166;242435;242435;242634;242634;242634;243272;243272;243272;243552;243552;243552	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	948	758	430	490	422	423	383
g60	contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon	252773;253439;253821;254176;254955	253141;253573;253964;254415;255347	-;-;-;-;-	1281	33	108	86	17	17	15
g61	contig_116_pilon;contig_116_pilon	262388;263247	262692;263754	-;-	813	473	477	328	679	463	812
g62	contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon	265558;266281;266597;267081;267538;268120;268400	265919;266401;266798;267191;267698;268182;268579	-;-;-;-;-;-;-	1200	589	633	727	1343	960	1198
g63	contig_116_pilon	269085	269441	-	357	0	0	1	0	0	2
g64	contig_116_pilon	269961	270176	+	216	0	0	0	0	3	0
g65	contig_116_pilon	270486	270893	+	408	0	20	11	4	2	8
g66	contig_116_pilon;contig_116_pilon	271692;272404	271973;272577	-;-	456	2	0	2	3	4	6
g67	contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon	273768;274495;276074;276432;276627	274314;275714;276214;276514;276897	-;-;-;-;-	2262	1507	1222	978	1108	963	940
g68	contig_116_pilon	277787	278011	-	225	0	0	0	0	0	0
g69	contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon	301168;301940;303048;303451;303844	301796;302800;303308;303681;304045	-;-;-;-;-	2184	76	244	192	45	17	59
g70	contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon	313627;314096;314262;314488;314671;314981;315178;315347;316194;316400;316546;316752;316947;317139;318392;318600;320290;320549;320872	313859;314134;314376;314553;314777;315038;315214;316072;316276;316436;316614;316843;317031;318287;318482;320109;320417;320773;321652	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	5631	15	93	61	17	2	20
g71	contig_116_pilon	322232	322441	-	210	0	0	0	0	0	0
g72	contig_116_pilon	356188	356487	-	300	0	1	5	1	2	0
g73	contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon	389094;390515;390821;391061;391564	389380;390632;390888;391319;391698	-;-;-;-;-	867	553	1565	1192	91	62	170
g74	contig_116_pilon;contig_116_pilon	423369;424115	423940;424142	+;+	600	57	74	57	93	43	97
g75	contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon	424261;424261;424947;424947;424949;425583;425583;425583;426021;426021;426021;426332;426332;426985;426985;426985	424756;424756;425194;425194;425194;425822;425822;425822;426592;426163;426163;426592;426592;427276;427276;427276	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	1848	430	473	500	731	456	524
g76	contig_116_pilon;contig_116_pilon;contig_116_pilon	444632;445155;445942	444691;445826;446337	+;+;+	1128	424	277	347	136	94	327
g77	contig_116_pilon	447131	448234	-	1104	924	780	1102	1463	887	1349
g78	contig_116_pilon	449520	449999	+	480	10	1	16	41	13	19
g79	contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon	471201;471650;472001;472385;472603;473164	471516;471715;472065;472492;472814;473323	-;-;-;-;-;-	927	478	652	530	434	181	771
g80	contig_116_pilon;contig_116_pilon	473417;474138	473471;474301	-;-	219	84	63	75	54	13	95
g81	contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon	474942;474942;474942;475076;475076;475076;475273;475273;475273;475557;475557;475572;475981;475981;475981	474969;474984;474969;475156;475156;475156;475385;475385;475385;475746;475746;475746;476204;476204;476204	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	651	34	171	58	70	72	117
g82	contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon	477051;477051;477201;477201;477481;477481;477778;477778;478345;478345	477090;477078;477281;477281;477593;477593;477967;477967;478586;478586	+;+;+;+;+;+;+;+;+;+	666	257	332	212	228	109	376
g83	contig_116_pilon	481626	482441	-	816	2631	312	226	6084	5478	4868
g84	contig_116_pilon	482626	482883	+	258	137	2	2	155	147	133
g85	contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon	485997;486510;486787;487244;487422;487782;488235;488903	486224;486597;486983;487294;487595;487916;488615;488905	-;-;-;-;-;-;-;-	1257	600	879	982	1114	1123	1562
g86	contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon	490670;490872;491122;491423;491614	490705;490958;491292;491464;491685	-;-;-;-;-	408	2689	2811	2672	7800	7493	6103
g87	contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon	496259;497682;497995;498326;498641;498944;499240	496416;497722;498073;498412;498726;499015;499343	+;+;+;+;+;+;+	627	887	953	839	1070	992	1212
g88	contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon	501530;501928;502281;502579;502770;503153;503419;503691;503958	501654;502042;502349;502667;502857;503299;503511;503792;504335	+;+;+;+;+;+;+;+;+	1206	554	889	860	128	91	119
g89	contig_116_pilon	510941	511693	-	753	0	0	0	0	0	0
g90	contig_116_pilon	511957	512844	-	888	0	0	0	0	0	0
g91	contig_116_pilon	515230	517365	+	2136	24	128	142	0	0	0
g92	contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon	517773;518220;518865;519365	518070;518566;519158;519973	-;-;-;-	1548	815	1272	1173	566	235	669
g93	contig_116_pilon	523090	523434	-	345	0	0	1	0	0	0
g94	contig_116_pilon	526914	527294	+	381	1	0	0	1	0	0
g95	contig_116_pilon;contig_116_pilon	527240;528611	527302;528829	+;+	282	2	32	37	113	144	195
g96	contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon	528905;529219;529448;529996	528976;529327;529696;530282	-;-;-;-	717	16	4	5	39	8	3
g97	contig_116_pilon;contig_116_pilon	534925;536619	535311;536855	+;+	624	437	207	333	297	65	13
g98	contig_116_pilon;contig_116_pilon;contig_116_pilon;contig_116_pilon	536912;537226;537455;538003	536983;537334;537703;538289	-;-;-;-	717	1	1	3	16	3	7
g99	contig_116_pilon	542931	543335	+	405	7	4	12	10	24	1
g100	contig_119_pilon	2865	3998	-	1134	80	132	104	8	35	48
g101	contig_119_pilon	6313	7572	-	1260	86	151	75	28	35	65
g102	contig_119_pilon;contig_119_pilon	22522;22594	22911;22911	+;+	390	12	13	33	52	9	12
g103	contig_119_pilon;contig_119_pilon;contig_119_pilon;contig_119_pilon;contig_119_pilon;contig_119_pilon;contig_119_pilon;contig_119_pilon	23137;23511;24010;24441;25080;25430;25845;26206	23393;23661;24166;24730;25139;25712;25975;26625	+;+;+;+;+;+;+;+	1749	476	537	549	1086	445	786
g104	contig_119_pilon;contig_119_pilon;contig_119_pilon;contig_119_pilon	28551;29171;29445;29665	28701;29239;29551;29847	+;+;+;+	510	1307	1272	1328	2614	1924	1684
g105	contig_119_pilon;contig_119_pilon;contig_119_pilon	34461;34737;34952	34508;34803;34971	-;-;-	135	0	0	2	5	6	1
g106	contig_119_pilon;contig_119_pilon	35880;36652	36121;37408	-;-	999	0	4	1	33	10	14
